0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
8.330638,8.235225,8.140734,8.048172,7.9587045,7.873664,7.7945476,7.7230086,7.6608224,7.6098237,7.5717993,7.5483236,7.540539,7.548883,7.572831,7.6107235,7.6597905,7.7164373,7.7767587,7.837135,7.8947163,7.9476566,7.995085,8.036897,8.07349,8.10552,8.133719,8.158793,8.181361,8.201937,8.22093,8.23866,8.255365,8.271223,8.286357,8.30085,8.314754,8.3280945,8.340875,8.353082,8.364686,8.375644,8.3859,8.395382,8.404008,8.411677,8.418265,8.423621,8.42754,8.429729,8.429729
8.045011,7.946573,7.852288,7.763694,7.6825156,7.6106415,7.550075,7.5028405,7.4708242,7.455545,7.4578433,7.477552,7.513216,7.562021,7.6200333,7.682772,7.745951,7.8061323,7.861076,7.909738,7.9520216,7.988434,8.019781,8.046949,8.07077,8.091964,8.111119,8.128698,8.145057,8.160461,8.175107,8.189135,8.2026415,8.2156925,8.228328,8.240566,8.252413,8.263857,8.2748785,8.285447,8.295525,8.30506,8.313998,8.32227,8.329798,8.336489,8.342236,8.346902,8.350312,8.352215,8.352215
7.612355,7.51854,7.433474,7.3593187,7.2983627,7.252901,7.2250204,7.2162795,7.227293,7.257294,7.3038316,7.3628163,7.429054,7.4971642,7.562566,7.622123,7.6742887,7.7188253,7.7563434,7.7878675,7.8145256,7.8373656,7.8572783,7.8749776,7.891016,7.90581,7.919666,7.9328065,7.9453917,7.9575324,7.9693055,7.98076,7.991927,8.002821,8.013446,8.023793,8.033851,8.043596,8.053003,8.062038,8.070661,8.078825,8.086479,8.093562,8.100006,8.10573,8.110641,8.114623,8.11753,8.11915,8.11915
7.305987,7.225875,7.160695,7.113105,7.0855336,7.079769,7.096401,7.1342287,7.189873,7.257929,7.3318276,7.4051867,7.473067,7.532602,7.5828834,7.6243925,7.6583476,7.686197,7.7093177,7.7288804,7.7458143,7.760828,7.7744446,7.787045,7.7988997,7.810201,7.821083,7.8316364,7.841923,7.8519826,7.861839,7.871503,7.8809786,7.890261,7.899341,7.908204,7.9168305,7.9251976,7.933278,7.9410405,7.948448,7.955461,7.9620314,7.9681077,7.97363,7.97853,7.982727,7.986125,7.9886,7.9899755,7.9899755
8.611589,8.22697,7.978176,7.9781127,8.158395,8.329532,8.451593,8.548053,8.634765,8.718042,8.800109,8.881732,8.963175,9.044531,9.125832,9.207086,9.288295,9.369459,9.450577,9.531645,9.61266,9.693622,9.774525,9.855367,9.936145,10.016857,10.097498,10.178065,10.258554,10.338962,10.419281,10.499506,10.579629,10.659641,10.739529,10.819273,10.8988495,10.978221,11.057333,11.136106,11.214414,11.292074,11.368803,11.444169,11.517516,11.587838,11.653597,11.712409,11.760477,11.791246,11.791246
8.3315115,7.981063,7.872466,8.024998,8.213098,8.3409195,8.433181,8.51209,8.586449,8.659221,8.731368,8.803205,8.874832,8.946284,9.0175705,9.088693,9.159649,9.230437,9.301056,9.371502,9.441772,9.511865,9.581778,9.651507,9.721051,9.790406,9.859571,9.928542,9.997316,10.06589,10.134261,10.202424,10.270374,10.338105,10.405608,10.472873,10.539882,10.60661,10.673022,10.739059,10.804637,10.869617,10.933791,10.996829,11.058219,11.117158,11.172394,11.221949,11.262622,11.288822,11.288822
7.982735,7.7173457,7.7813993,7.9936233,8.141373,8.234736,8.307528,8.373683,8.43766,8.500811,8.563544,8.625984,8.688169,8.750108,8.811805,8.873258,8.934465,8.995425,9.056137,9.116599,9.176807,9.236762,9.29646,9.355901,9.415083,9.474003,9.5326605,9.591055,9.649181,9.707041,9.76463,9.821947,9.878988,9.935751,9.9922285,10.048414,10.104298,10.159861,10.21508,10.269914,10.324299,10.378134,10.431261,10.483426,10.534225,10.58302,10.628789,10.669903,10.703696,10.7255125,10.7255125
7.587559,7.4736037,7.689797,7.8800464,7.9837966,8.053269,8.112489,8.168671,8.223807,8.278447,8.33274,8.386727,8.440422,8.493825,8.546937,8.599757,8.652285,8.704517,8.756456,8.8081,8.859447,8.910496,8.961247,9.011702,9.061855,9.111711,9.161265,9.21052,9.259472,9.308124,9.356472,9.404517,9.452257,9.499691,9.546815,9.593625,9.640114,9.68627,9.732076,9.7775,9.822497,9.866989,9.910852,9.953888,9.995773,10.035991,10.073707,10.107574,10.135386,10.153308,10.153308
10.90918,10.78067,10.666865,10.571301,10.498568,10.454321,10.445135,10.478078,10.559878,10.695581,10.88676,11.129713,11.414531,11.726043,12.046907,12.361693,12.659914,12.936719,13.191612,13.426489,13.64404,13.846853,14.037062,14.216297,14.385768,14.546361,14.698736,14.843394,14.980727,15.1110525,15.234635,15.351704,15.462459,15.567076,15.665712,15.758505,15.84557,15.927004,16.00288,16.073246,16.138119,16.197483,16.251287,16.299429,16.341763,16.378077,16.40809,16.431437,16.447647,16.45613,16.45613
9.957244,9.853209,9.831852,9.907565,10.088882,10.370342,10.72562,11.11051,11.479904,11.806531,12.085013,12.3228035,12.530336,12.716256,12.886496,13.044811,13.193516,13.334038,13.467292,13.593887,13.71426,13.828742,13.937606,14.041087,14.139398,14.232735,14.321283,14.405221,14.484718,14.5599375,14.631032,14.69815,14.76143,14.821,14.876981,14.92948,14.978593,15.024402,15.066975,15.106363,15.142599,15.175694,15.205638,15.232394,15.255894,15.276035,15.292676,15.305621,15.314617,15.319332,15.319332
9.158108,9.234218,9.475671,9.8618555,10.3208,10.75599,11.109059,11.378726,11.589068,11.762801,11.914452,12.052061,12.179861,12.300074,12.413899,12.522027,12.624887,12.722783,12.815947,12.904575,12.98885,13.068937,13.144999,13.217189,13.285659,13.350556,13.412024,13.470196,13.525207,13.577182,13.626242,13.672501,13.7160635,13.757031,13.795494,13.831534,13.865224,13.896626,13.925793,13.952763,13.977563,14.000204,14.020682,14.038975,14.0550375,14.068803,14.080176,14.089028,14.095186,14.09842,14.09842
8.477713,8.828475,9.367613,9.929007,10.360082,10.646539,10.841744,10.989945,11.114596,11.226453,11.33025,11.428093,11.520963,11.609361,11.693579,11.773818,11.850243,11.922996,11.992215,12.058033,12.120579,12.179978,12.236358,12.289838,12.340536,12.388569,12.434047,12.477075,12.517757,12.55619,12.592465,12.626671,12.658887,12.689189,12.717645,12.744316,12.769257,12.792515,12.814126,12.834121,12.852516,12.86932,12.884527,12.89812,12.910063,12.920304,12.928772,12.935369,12.939963,12.942384,12.942384
6.7215104,6.7142177,6.7097898,6.7072773,6.7060456,6.705672,6.70587,6.706445,6.70726,6.7082186,6.7092533,6.7103148,6.711368,6.712389,6.7133594,6.7142673,6.715104,6.7158637,6.7165437,6.717141,6.717656,6.7180886,6.7184386,6.7187085,6.718899,6.7190113,6.719048,6.71901,6.7188993,6.718717,6.718465,6.7181435,6.717754,6.717297,6.7167726,6.7161803,6.71552,6.71479,6.7139893,6.713116,6.7121677,6.711142,6.7100377,6.7088537,6.707595,6.706273,6.7049155,6.703583,6.702393,6.7015777,6.7015777
40.32906,40.288326,40.258194,40.235798,40.219013,40.20632,40.19663,40.189133,40.183258,40.17857,40.17475,40.17156,40.168804,40.16635,40.164093,40.161945,40.15985,40.157757,40.155624,40.15343,40.151154,40.148773,40.146286,40.143677,40.140945,40.138084,40.135094,40.131973,40.12872,40.125336,40.12182,40.118176,40.114403,40.1105,40.10647,40.102306,40.098015,40.09359,40.089024,40.08432,40.07947,40.074474,40.06933,40.064034,40.05861,40.053104,40.047623,40.042377,40.037792,40.0347,40.0347
51.531574,51.49184,51.460022,51.43443,51.413662,51.396633,51.3825,51.37062,51.360508,51.351772,51.34412,51.337315,51.33118,51.325565,51.32036,51.315468,51.310814,51.306347,51.30201,51.29777,51.2936,51.289463,51.28535,51.281242,51.277126,51.27299,51.268826,51.26463,51.260395,51.256115,51.25179,51.247414,51.242985,51.2385,51.233955,51.22935,51.22468,51.219948,51.215145,51.210266,51.205315,51.200283,51.195175,51.19,51.18478,51.179565,51.174458,51.16965,51.16553,51.162804,51.162804
57.05854,57.019386,56.98752,56.961464,56.939957,56.921993,56.9068,56.89378,56.88247,56.87251,56.86362,56.85558,56.848217,56.841393,56.835003,56.828957,56.82318,56.817627,56.81225,56.807003,56.80187,56.796814,56.79183,56.786892,56.781994,56.777122,56.77227,56.767433,56.762608,56.757786,56.752968,56.748154,56.74334,56.73853,56.733723,56.728916,56.724113,56.71932,56.71453,56.70976,56.705006,56.700275,56.695583,56.690945,56.686382,56.681942,56.677708,56.673817,56.67055,56.668427,56.668427
60.336468,60.30057,60.270702,60.245773,60.224804,60.20699,60.191685,60.178387,60.1667,60.156307,60.14696,60.138466,60.130665,60.12343,60.116657,60.110268,60.104195,60.098385,60.092793,60.08738,60.08212,60.076984,60.071957,60.06702,60.06216,60.057365,60.052628,60.04794,60.043293,60.03869,60.034115,60.02958,60.02507,60.020596,60.016148,60.01173,60.007347,60.002995,59.998684,59.994415,59.990192,59.98603,59.981934,59.977924,59.974022,59.97027,59.966732,59.96353,59.960876,59.95917,59.95917
65.53472,65.51033,65.48897,65.47028,65.45389,65.43941,65.42653,65.414986,65.404564,65.39508,65.386375,65.378334,65.37086,65.36385,65.357254,65.351006,65.345055,65.339355,65.333885,65.328606,65.3235,65.318535,65.31371,65.309,65.30439,65.29987,65.29545,65.29109,65.28681,65.28259,65.27844,65.274345,65.2703,65.26632,65.26239,65.258514,65.2547,65.25094,65.247246,65.24362,65.240074,65.23662,65.23325,65.23001,65.22691,65.22399,65.2213,65.21892,65.216995,65.2158,65.2158
7.189582,7.191683,7.1939354,7.1962857,7.1986837,7.2010884,7.2034683,7.2057996,7.208065,7.2102523,7.212352,7.2143583,7.2162676,7.2180777,7.219788,7.2213984,7.2229095,7.224323,7.2256393,7.226862,7.2279916,7.2290306,7.2299805,7.230844,7.2316227,7.232318,7.232931,7.233464,7.2339163,7.2342906,7.234586,7.2348027,7.23494,7.234998,7.234975,7.234868,7.234676,7.2343946,7.2340207,7.2335496,7.2329764,7.232296,7.231504,7.2305975,7.229578,7.2284565,7.227261,7.226052,7.22495,7.224185,7.224185
43.137493,43.13965,43.142338,43.14547,43.148926,43.1526,43.156395,43.160225,43.164032,43.167763,43.17137,43.17483,43.178116,43.181206,43.18409,43.186756,43.1892,43.191418,43.193405,43.19516,43.196686,43.197983,43.19905,43.199898,43.20052,43.20092,43.201103,43.20107,43.200817,43.200348,43.199665,43.198757,43.197628,43.196274,43.194683,43.192844,43.190754,43.188393,43.185745,43.182793,43.17951,43.175873,43.17186,43.167458,43.162663,43.157516,43.152122,43.146736,43.141857,43.138485,43.138485
60.85717,60.85736,60.857708,60.85824,60.85893,60.859737,60.860626,60.861557,60.86249,60.863396,60.864254,60.865036,60.865726,60.866314,60.866783,60.86713,60.867344,60.867424,60.867363,60.867165,60.86682,60.866333,60.865704,60.864933,60.86402,60.862972,60.86178,60.860447,60.85898,60.85737,60.855618,60.853725,60.851692,60.84951,60.847176,60.844685,60.842026,60.839188,60.836163,60.832935,60.829487,60.825798,60.821857,60.817654,60.813187,60.808487,60.803646,60.798878,60.794605,60.791664,60.791664
64.437004,64.437325,64.437645,64.43801,64.43842,64.438866,64.43932,64.43977,64.4402,64.44058,64.4409,64.44115,64.44131,64.441376,64.44133,64.441185,64.440926,64.44055,64.440056,64.439445,64.43871,64.43787,64.4369,64.43581,64.4346,64.43328,64.43185,64.4303,64.428635,64.42686,64.42496,64.42295,64.42082,64.41857,64.4162,64.413704,64.411064,64.40828,64.40534,64.40224,64.39896,64.39548,64.39179,64.38789,64.38377,64.37948,64.375084,64.37077,64.36693,64.36429,64.36429
69.90371,69.90446,69.90499,69.90537,69.90564,69.90579,69.90585,69.90582,69.9057,69.90549,69.90519,69.90479,69.90431,69.90373,69.90307,69.902306,69.90146,69.90051,69.89948,69.89837,69.89716,69.895874,69.89449,69.893036,69.8915,69.889885,69.88819,69.88641,69.88457,69.882645,69.880646,69.87857,69.87642,69.87418,69.87187,69.869484,69.867004,69.864426,69.861755,69.85898,69.85609,69.85307,69.84993,69.84666,69.843254,69.839745,69.836205,69.83277,69.82974,69.82769,69.82769
50.655983,50.658737,50.661446,50.664116,50.666748,50.66934,50.671886,50.674397,50.676865,50.679295,50.681683,50.684036,50.686344,50.688618,50.690845,50.69304,50.695187,50.697296,50.699368,50.701393,50.70338,50.705322,50.70722,50.70907,50.710876,50.71263,50.714336,50.71599,50.717587,50.71912,50.720592,50.721996,50.723324,50.724567,50.725723,50.72678,50.72773,50.728558,50.729248,50.72979,50.730164,50.730354,50.73034,50.73011,50.72965,50.728962,50.72807,50.727043,50.72602,50.72527,50.72527
59.193356,59.195194,59.197006,59.19879,59.200554,59.202293,59.204006,59.205696,59.20736,59.209,59.210617,59.212208,59.213776,59.215317,59.216835,59.218327,59.21979,59.221233,59.222645,59.224033,59.225395,59.226727,59.22803,59.229305,59.23055,59.23176,59.232937,59.234077,59.23518,59.23624,59.23726,59.238228,59.239147,59.240005,59.2408,59.241524,59.242172,59.24273,59.243183,59.24353,59.24375,59.243835,59.243763,59.24353,59.24312,59.24254,59.241802,59.240967,59.240143,59.23954,59.23954
59.098648,59.100735,59.10279,59.104824,59.10683,59.10881,59.110767,59.112698,59.1146,59.116478,59.11833,59.120155,59.121956,59.12373,59.125477,59.127197,59.12889,59.130558,59.132195,59.13381,59.135387,59.13694,59.138466,59.139954,59.141415,59.142838,59.144226,59.145576,59.14689,59.148155,59.149372,59.150543,59.151657,59.15271,59.153694,59.154602,59.155426,59.15616,59.156784,59.15729,59.157665,59.15789,59.15795,59.157837,59.15753,59.157043,59.15638,59.1556,59.154808,59.15422,59.15422
75.98398,75.98495,75.98591,75.98686,75.987816,75.988754,75.98969,75.99062,75.99155,75.99246,75.99337,75.99427,75.99517,75.996056,75.99694,75.99782,75.99869,75.99954,76.0004,76.00124,76.00208,76.00291,76.00373,76.00454,76.00534,76.00613,76.006905,76.007675,76.00843,76.00917,76.00989,76.0106,76.011284,76.01195,76.01258,76.01319,76.01377,76.01431,76.01481,76.01525,76.01565,76.015976,76.016235,76.01641,76.01651,76.01651,76.01642,76.01626,76.01606,76.01589,76.01589
84.42664,84.4273,84.42796,84.42862,84.42927,84.429924,84.43057,84.43122,84.43186,84.4325,84.43314,84.433784,84.43442,84.43505,84.43568,84.43631,84.43693,84.43755,84.43817,84.43879,84.4394,84.44001,84.44062,84.44122,84.44182,84.44241,84.44301,84.443596,84.444176,84.44475,84.44531,84.44588,84.44643,84.44697,84.447495,84.44801,84.44852,84.449005,84.44947,84.44991,84.450325,84.450714,84.451065,84.45137,84.45164,84.45184,84.452,84.4521,84.45215,84.452156,84.452156
41.13243,41.12842,41.124622,41.12108,41.117775,41.114674,41.111736,41.108917,41.106182,41.103497,41.100834,41.098167,41.095486,41.09277,41.090008,41.08719,41.08431,41.08136,41.07834,41.07525,41.07208,41.068836,41.065517,41.062126,41.058662,41.055126,41.05152,41.047848,41.04411,41.04031,41.03645,41.03253,41.02856,41.024536,41.020462,41.016342,41.012177,41.00797,41.003727,40.999447,40.995136,40.990803,40.986454,40.982105,40.977776,40.97352,40.96941,40.965603,40.962383,40.960274,40.960274
46.746235,46.741318,46.736885,46.733,46.72965,46.726776,46.724316,46.72221,46.720398,46.718838,46.717476,46.716278,46.715218,46.71426,46.713383,46.712574,46.71181,46.711086,46.710384,46.709698,46.70902,46.708344,46.707664,46.706978,46.706284,46.705574,46.704845,46.7041,46.70334,46.702553,46.701744,46.70091,46.700047,46.699158,46.698235,46.697277,46.696278,46.69524,46.694157,46.693016,46.691822,46.69056,46.689224,46.687817,46.686325,46.68476,46.683147,46.681545,46.6801,46.67909,46.67909
60.810314,60.80933,60.808132,60.806763,60.805256,60.803635,60.801918,60.80012,60.79826,60.796333,60.79436,60.792343,60.790287,60.788193,60.78607,60.78392,60.781746,60.779552,60.777336,60.7751,60.772854,60.770588,60.76831,60.76602,60.76372,60.76141,60.75909,60.756767,60.754433,60.752094,60.749752,60.74741,60.74506,60.74271,60.74036,60.73801,60.735664,60.733322,60.730988,60.72866,60.72634,60.724037,60.721756,60.7195,60.717285,60.715137,60.71309,60.711216,60.70965,60.708633,60.708633
71.13158,71.12977,71.12795,71.12612,71.12429,71.12245,71.120605,71.11876,71.1169,71.115036,71.11317,71.1113,71.10941,71.10754,71.105644,71.10376,71.10186,71.09997,71.09807,71.09616,71.09426,71.092354,71.09045,71.08853,71.086624,71.08472,71.0828,71.080894,71.078995,71.07709,71.07519,71.073296,71.0714,71.06953,71.06766,71.065796,71.06396,71.062126,71.060326,71.05855,71.0568,71.0551,71.05344,71.05184,71.050316,71.04889,71.04758,71.04644,71.04554,71.04499,71.04499
44.844177,44.84751,44.850487,44.85315,44.855526,44.857635,44.859493,44.86112,44.86252,44.863705,44.864685,44.865467,44.866062,44.866474,44.866707,44.86677,44.866673,44.866413,44.866,44.865437,44.864727,44.86388,44.862892,44.861774,44.860527,44.85915,44.85765,44.85603,44.85429,44.852432,44.850456,44.848362,44.846153,44.843826,44.841377,44.838806,44.83611,44.833282,44.83032,44.827213,44.823956,44.82054,44.816967,44.813236,44.809364,44.805386,44.801395,44.797558,44.794212,44.791973,44.791973
