No.,"bed diameter, mm","catalyst mass, mg","particle diameter,㎛","bed length, mm","T_jacket, ℃", void fraction,"T_top, ℃","T_bottom, ℃","total pressure, MPaG",H2,CO2,CH4,CO,H2O,Ar,Total,H2,CO2,CH4,CO,H2O,Ar,Total,H2,CO2,CH4,CO,H2O,Ar,Total
1,10,200,500~1000,5.4,250,0.907079763,421,438,0.812,720,180,,,,50,950,244.0678803,48.11779007,114.6833032,17.19890668,246.5655132,50,720.633,0.338685221,0.066771524,0.159142366,0.023866375,0.342151107,0.069383407,1
2,10,200,500~1000,5.4,300,0.907079763,448,457,0.815,720,180,,,,50,950,246.5493757,47.9684965,113.8063736,18.2251299,245.8378771,50,722.387,0.341298071,0.066402745,0.157542057,0.02522903,0.340313144,0.069214953,1
3,10,200,500~1000,5.4,350,0.907079763,479,482,0.803,720,180,,,,50,950,263.3115922,49.62852346,108.7723104,21.59916612,239.143787,50,732.455,0.359491649,0.067756378,0.148503668,0.029488713,0.326496048,0.068263544,1
4,10,200,500~1000,5.4,400,0.907079763,514,513,0.807,720,180,,,,50,950,287.1697865,53.52150387,102.1172391,24.36125702,228.5957352,50,745.766,0.385067127,0.071767201,0.136929418,0.032666108,0.306524945,0.067045202,1
5,10,1000,500~1000,27,250,0.907079763,416,368,0.836,720,180,,,,50,950,74.42603407,18.60650852,161.3934915,0,299.9415298,50,604.368,0.12314697,0.030786742,0.267045257,0,0.49628992,0.082731111,1
6,10,1000,500~1000,27,300,0.907079763,446,401,0.845,720,180,,,,50,950,122.0626281,29.89008324,149.2758184,0.834098383,299.3857351,50,651.448,0.187371149,0.045882506,0.229144514,0.001280375,0.459569403,0.076752054,1
7,10,1000,500~1000,27,400,0.907079763,519,477,0.848,720,180,,,,50,950,162.6762679,37.91615716,138.4132964,3.670546418,280.4971393,50,673.173,0.241655814,0.056324502,0.205613138,0.005452602,0.416678877,0.074275067,1
12,10,2801.4,500~1000,77.3,175,0.909077849,171,185,0.8,77.6,19.4,,,,1.98,99.0,51.71482358,12.9287059,6.471294104,,12.94258821,1.98,86.037,0.601074,0.150268,0.075215,0.000000,0.150430,0.023013,1
13,10,2801.4,500~1000,77.3,175,0.909077849,167,188,0.801,231.4,57.8,,,,5.9,295.1,201.5381798,50.33454494,7.465455058,,14.93091012,5.9,280.169,0.719344807,0.179657738,0.026646248,0,0.053292496,0.021058711,1
14,10,2801.4,500~1000,77.3,175,0.909077849,161,189,0.801,538.6,134.7,,,,13.7,687,512.5165398,128.179135,6.520865049,,13.0417301,13.7,673.958,0.760457379,0.190188533,0.009675473,0,0.019350946,0.020327668,1
15,10,2801.4,500~1000,77.3,175,0.909077849,157,187,0.802,772.2,193.1,,,,19.7,985,751.5357685,187.9339421,5.166057882,,10.33211576,19.7,974.668,0.771068567,0.192818441,0.005300326,0,0.010600653,0.020212013,1
16,10,41.69,500~1000,1.3,200,0.919543226,208,208,0.797,72.3318,19.7887,,,,1.8309,93.9514,69.79173478,19.15168074,0.634348653,0.002670611,1.271367917,1.8309,92.683,0.753017907,0.206637055,0.006844305,2.88146E-05,0.013717424,0.019754495,1
17,10,41.69,500~1000,1.3,200,0.919543226,208,208,0.798,103.4837,26.8748,,,,2.63714,132.99564,101.1007493,26.27683023,0.594993642,0.002976128,1.192963412,2.63714,131.806,0.767044108,0.19936042,0.004514174,2.25797E-05,0.009050928,0.020007791,1
18,10,41.69,500~1000,1.3,200,0.919543226,208,210,0.802,310.4931,78.5021,,,,8.07926,397.07446,308.4824358,77.99362577,0.500729988,0.007744242,1.009204218,8.07926,396.073,0.778852474,0.1969173,0.001264237,1.95526E-05,0.002548026,0.020398411,1
19,10,41.69,500~1000,1.3,200,0.919543226,205,209,0.802,516.4976,130.1294,,,,13.52138,660.14838,514.2879213,129.567904,0.549394226,0.01210175,1.110890202,13.52138,659.050,0.780347834,0.19659811,0.000833616,1.83624E-05,0.001685594,0.020516483,1
20,10,41.69,500~1000,1.3,200,0.919543226,203,208,0.804,722.5021,181.7567,,,,18.9635,923.2223,720.4533608,181.2350612,0.509033458,0.012605361,1.030672276,18.9635,922.204,0.781229727,0.196523779,0.000551975,1.36687E-05,0.001117618,0.020563232,1
21,10,3093,500~1000,75,250,0.896535175,309,261,0.255,384.9,96.2,,,,9.8,490.9,21.03708372,5.234270931,90.96572907,,181.9314581,9.8,308.969,0.068088109,0.016941113,0.294417446,0,0.588834893,0.031718439,1
22,10,3093,500~1000,75,250,0.896535175,314,259,0.506,384.9,96.2,,,,9.8,490.9,12.59698139,3.124245348,93.07575465,,186.1515093,9.8,304.748,0.041335665,0.010251881,0.305418263,0,0.610836526,0.032157665,1
23,10,3093,500~1000,75,250,0.896535175,315,259,0.804,384.9,96.2,,,,9.8,490.9,6.869212086,1.692303022,94.50769698,,189.015394,9.8,301.885,0.02275443,0.005605794,0.313059014,0,0.626118027,0.032462735,1
24,10,3093,500~1000,75,150,0.896535175,149,159,0.8,77.6,19.4,,,,2,99,71.92811722,17.98202931,1.417970694,,2.835941389,2,96.164,0.747972977,0.186993244,0.014745329,0,0.029490658,0.020797791,1
25,10,3093,500~1000,75,250,0.896535175,261,260,0.809,77.6,19.4,,,,2,99,0.936859251,0.234214813,19.16578519,,38.33157037,2,60.668,0.015442286,0.003860572,0.315910356,0,0.631820712,0.032966075,1
26,10,3093,500~1000,75,250,0.896535175,310,262,0.8,384.9,96.2,,,,9.8,490.9,5.646348096,1.386587024,94.81341298,,189.626826,9.8,301.273,0.018741622,0.004602424,0.314709112,0,0.629418223,0.032528618,1
27,10,3093,500~1000,75,250,0.896535175,340,271,0.805,772.8,193.1,,,,19.7,985.6,18.59988576,4.54997144,188.5500286,,377.1000571,19.7,608.500,0.030566783,0.007477357,0.309860388,0,0.619720777,0.032374695,1
28,10,200.2,75~150,2.7,225,0.813973686,363,295,0.804,144,36,,,,10,190,9.490,2.320,33.610,0.070,67.290,10,122.780,0.077292719,0.018895586,0.273741652,0.000570125,0.548053429,0.08144649,1
29,10,200.2,75~150,2.7,225,0.813973686,416,429,0.803,720,180,,,,50,950,211.480,40.600,123.040,16.370,262.440,50,703.930,0.300427599,0.057676189,0.174790107,0.023255153,0.372821161,0.07102979,1
30,10,200.2,75~150,2.7,275,0.813973686,382,325,0.787,144,36,,,,10,190,10.860,2.650,33.260,0.090,66.620,10,123.480,0.087949466,0.021460965,0.269355361,0.000728863,0.53952057,0.080984775,1
31,10,200.2,75~150,2.7,275,0.813973686,446,442,0.801,720,180,,,,50,950,218.210,41.200,120.990,17.810,259.800,50,708.010,0.308201862,0.058191268,0.170887417,0.025155012,0.36694397,0.070620471,1
32,10,200,500~1000,5.4,500,0.907079763,495,478,0.804,,,500,,500,50,1050,98.49372876,24.62343219,475.3765678,,450.7531356,50,1099.246864,0.0896011,0.022400275,0.432456606,0,0.410056331,0.045485688,1
33,10,200,500~1000,5.4,500,0.907079763,496,479,0.802,,,500,,250,300,1050,83.72496847,20.93124212,479.0687579,,208.1375158,300,1091.862484,0.076680873,0.019170218,0.438762907,0,0.190626126,0.274759875,1
34,10,200,500~1000,5.4,500,0.907079763,495,470,0.801,,,500,,166.7,383.3,1050,74.15545209,18.53886302,481.461137,,129.622274,383.3,1087.077726,0.068215409,0.017053852,0.44289486,0,0.119239196,0.352596683,1
35,10,200,500~1000,5.4,500,0.907079763,497,479,0.795,,,500,,125,425,1050,68.16186073,17.04046518,482.9595348,,90.91906963,425,1084.08093,0.062875251,0.015718813,0.445501366,0,0.083867419,0.392037152,1
36,10,200,500~1000,5.4,500,0.907079763,495,483,0.795,,,500,,100,450,1050,60.63990101,15.15997525,484.8400247,,69.68004949,450,1080.319951,0.056131428,0.014032857,0.448792994,0,0.064499456,0.416543266,1
37,10,200,500~1000,5.4,500,0.907079763,495,474,0.796,,,500,,62.5,487.5,1050,49.26654608,12.31663652,487.6833635,,75.36672696,487.5,1112.133273,0.044299139,0.011074785,0.43851162,0,0.067767712,0.438346745,1
38,10,200,500~1000,5.4,450,0.907079763,447,435,0.799,,,500,,500,50,1050,63.58153601,15.895384,484.104616,,468.209232,50,1081.790768,0.058774338,0.014693584,0.447503002,0,0.432809417,0.046219659,1
39,10,200,500~1000,5.4,450,0.907079763,448,433,0.798,,,500,,250,300,1050,58.5134463,14.62836158,485.3716384,,220.7432768,300,1079.256723,0.05421643,0.013554107,0.449727695,0,0.204532686,0.277969081,1
40,10,200,500~1000,5.4,450,0.907079763,445,429,0.797,,,500,,166.7,383.3,1050,78.77608517,19.69402129,480.3059787,,127.3119574,383.3,1089.388043,0.072312236,0.018078059,0.440895218,0,0.116865573,0.351848914,1
41,10,200,500~1000,5.4,450,0.907079763,445,434,0.796,,,500,,100,450,1050,45.88668318,11.4716708,488.5283292,,77.05665841,450,1072.943342,0.042767107,0.010691777,0.455316055,0,0.071818013,0.419407048,1
42,10,200,500~1000,5.4,450,0.907079763,445,435,0.794,,,500,,62.5,487.5,1050,40.13217357,10.03304339,489.9669566,,79.93391322,487.5,1107.566087,0.036234563,0.009058641,0.442381689,0,0.072170784,0.440154322,1
43,10,200,500~1000,5.4,350,0.907079763,352,343,0.818,,,250,,500,300,1050,12.5318345,3.132958625,246.8670414,,493.7340828,300,1056.265917,0.01186428,0.00296607,0.233716754,0,0.467433508,0.284019389,1
44,10,200,500~1000,5.4,350,0.907079763,351,345,0.821,,,200,,500,350,1050,10.42145724,2.605364311,197.3946357,,494.7892714,350,1055.210729,0.009876186,0.002469046,0.187066555,0,0.46890091,0.331687302,1
45,10,200,500~1000,5.4,350,0.907079763,352,346,0.821,,,150,,500,400,1050,8.496604761,2.12415119,147.8758488,,495.7516976,400,1054.248302,0.008059396,0.002014849,0.140266623,0,0.470241874,0.379417258,1
46,10,200,500~1000,5.4,350,0.907079763,352,348,0.821,,,100,,500,450,1050,6.500527966,1.625131991,98.37486801,,496.749736,450,1053.250264,0.006171874,0.001542969,0.093401228,0,0.471635045,0.427248884,1
47,10,200,500~1000,5.4,350,0.907079763,352,349,0.826,,,50,,500,500,1050,2.702277574,0.675569393,49.32443061,,498.6488612,500,1051.351139,0.00257029,0.000642573,0.046915278,0,0.474293357,0.475578502,1
48,10,200,500~1000,5.4,350,0.907079763,352,348,0.821,,,25,,500,525,1050,0,0,25,,500,525,1050,0,0,0.023809524,0,0.476190476,0.5,1
49,10,200,500~1000,5.4,500,0.907079763,480,474,0.797,,,250,,500,300,1050,87.47916742,21.86979185,228.1302081,,456.2604163,300,1093.739584,0.079981715,0.019995429,0.208578177,0,0.417156353,0.274288326,1
50,10,200,500~1000,5.4,500,0.907079763,489,497,0.806,,,200,,500,350,1050,64.12694821,16.03173705,183.9682629,,467.9365259,350,1082.063474,0.059263573,0.014815893,0.170016147,0,0.432448315,0.323456071,1
51,10,200,500~1000,5.4,500,0.907079763,486,477,0.804,,,150,,500,400,1050,76.74004961,19.1850124,130.8149876,,461.6299752,400,1088.370025,0.070509154,0.017627288,0.120193486,0,0.424148005,0.367522066,1
52,10,200,500~1000,5.4,500,0.907079763,489,482,0.807,,,25,,500,525,1050,41.45314143,10.36328536,14.63671464,,479.2734293,525,1070.726571,0.038714965,0.009678741,0.01366989,0,0.447615145,0.490321259,1
53,10,200,500~1000,5.4,450,0.907079763,433,447,0.81,,,250,,500,300,1050,72.30330683,18.07582671,231.9241733,,463.8483466,300,1086.151653,0.066568335,0.016642084,0.213528353,0,0.427056705,0.276204524,1
54,10,200,500~1000,5.4,450,0.907079763,438,447,0.834,,,200,,500,350,1050,40.16199834,10.04049958,189.9595004,,479.9190008,350,1070.080999,0.037531737,0.009382934,0.177518805,0,0.44848848,0.327078044,1
55,10,200,500~1000,5.4,450,0.907079763,439,451,0.807,,,150,,500,400,1050,39.60464079,9.901160197,140.0988398,,480.1976796,400,1069.80232,0.037020522,0.009255131,0.130957689,0,0.448865805,0.373900853,1
56,10,200,500~1000,5.4,450,0.907079763,441,450,0.82,,,100,,500,450,1050,34.37233485,8.593083714,91.40691629,,482.8138326,450,1067.186167,0.032208377,0.008052094,0.085652269,0,0.452417626,0.421669633,1
57,10,200,500~1000,5.4,450,0.907079763,441,449,0.816,,,50,,500,500,1050,25.60490789,6.401226972,43.59877303,,487.1975461,500,1062.802454,0.024091879,0.00602297,0.041022462,0,0.458408375,0.470454315,1
58,10,200,500~1000,5.4,450,0.907079763,441,452,0.829,,,25,,500,525,1050,34.65496177,8.663740442,41.33625956,,482.6725191,525,1092.327481,0.031725799,0.00793145,0.037842369,0,0.441875287,0.480625096,1
59,10,200,500~1000,5.4,400,0.907079763,389,401,0.786,,,250,,500,300,1050,69.99294849,17.49823712,232.5017629,,465.0035258,300,1084.996474,0.06450984,0.01612746,0.214288035,0,0.428576071,0.276498594,1
60,10,200,500~1000,5.4,400,0.907079763,390,401,0.794,,,200,,500,350,1050,39.20751657,9.801879142,190.1981209,,480.3962417,350,1069.603758,0.036656113,0.009164028,0.177821104,0,0.449134774,0.327223981,1
61,10,200,500~1000,5.4,400,0.907079763,390,400,0.816,,,150,,500,400,1050,20.6014532,5.1503633,144.8496367,,489.6992734,400,1060.300727,0.019429821,0.004857455,0.136611843,0,0.461849418,0.377251463,1
62,10,200,500~1000,5.4,400,0.907079763,390,401,0.799,,,100,,500,450,1050,17.21382226,4.303455564,95.69654444,,491.3930889,450,1058.606911,0.016260826,0.004065206,0.090398564,0,0.464188438,0.425086966,1
63,10,200,500~1000,5.4,400,0.907079763,389,400,0.802,,,50,,500,500,1050,12.39171008,3.097927519,46.90207248,,493.804145,500,1056.195855,0.011732398,0.002933099,0.044406605,0,0.467530849,0.473397048,1
64,10,200,500~1000,5.4,400,0.907079763,390,399,0.803,,,25,,500,525,1050,15.74090799,3.935226997,46.064773,,492.129546,525,1082.870454,0.01453628,0.00363407,0.042539505,0,0.454467609,0.484822536,1
65,10,1000,500~1000,27,350,0.9071,480,438,0.847,720,180,,,,50,950,124.87,29.85,148.33,1.83,298.48,50.00,653.35,0.19112,0.04568,0.22702,0.00280,0.45685,0.07653,1.00
66,10,2801.4,500~1000,77.3,175,0.9091,164,187,0.802,384.9,96.2,,,,9.8,490.9,356.2188792,89.02971981,7.170280189,,14.34056038,9.8,476.5594396,0.747480481,0.186817661,0.01504593,0,0.030091861,0.020564066,1.00
67,10,200,500~1000,5.4,450,0.9071,448,437,0.793,,,500,,125,425,1050,48.67070052,12.16767513,487.8323249,,100.6646497,425,1074.33535,0.04530308,0.01132577,0.454078258,0,0.093699467,0.395593424,1.00
68,10,200,500~1000,5.4,500,0.9071,491,498,0.806,,,100,,500,450,1050,53.19,13.30,86.70,,473.40,450.00,1076.60,0.04941,0.01235,0.08053,0.00000,0.43972,0.41798,1.00
